nc_031443.1 orobanche pancicii chloroplast, complete genome
nc_031441.1 orobanche austrohispanica chloroplast, complete genome
nc_063558.1 elsholtzia splendens chloroplast, complete genome
nc_067948.1 elsholtzia angustifolia voucher kiom201301006495 chloroplast, complete genome
nc_071845.1 elsholtzia eriostachya voucher h3050264 chloroplast, complete genome
nc_063697.1 elsholtzia fruticosa voucher swfu20210773mfy chloroplast, complete genome
nc_056994.1 elsholtzia densa chloroplast, complete genome
nc_064501.1 elsholtzia byeonsanensis chloroplast, complete genome
nc_067947.1 elsholtzia ciliata voucher kiom201401010428 chloroplast, complete genome
nc_050945.1 elsholtzia rugulosa chloroplast, complete genome
nc_068005.1 elsholtzia minima chloroplast, complete genome
nc_037228.1 anemopaegma arvense voucher f. firetti 241 chloroplast, complete genome
nc_037230.1 anemopaegma foetidum voucher l.g. lohmann 35 chloroplast, complete genome
nc_037232.1 anemopaegma oligoneuron voucher a. nogueira 171 chloroplast, complete genome
nc_037227.1 anemopaegma album voucher casa de vegetacao chloroplast, complete genome
nc_037226.1 anemopaegma acutifolium voucher f. firetti 251 chloroplast, complete genome
nc_037229.1 anemopaegma chamberlaynii voucher l.g. lohmann 689 chloroplast, complete genome
nc_042920.1 anemopaegma prostratum voucher j. durigon 912 chloroplast, complete genome
nc_037231.1 anemopaegma glaucum voucher f. firetti 244 chloroplast, complete genome
nc_084407.1 veronica spicata voucher ps001 chloroplast, complete genome
nc_068050.1 veronica agrestis chloroplast, complete genome
nc_064998.1 veronica arvensis chloroplast, complete genome
nc_077524.1 veronica undulata chloroplast, complete genome
nc_060687.1 veronica polita voucher vdidy20210930 chloroplast, complete genome
nc_077523.1 veronica peregrina chloroplast, complete genome
nc_031344.1 veronica persica plastid, complete genome
nc_058571.1 veronica eriogyne chloroplast, complete genome
nc_031153.1 veronica nakaiana voucher k.s. choi 2014024 plastid, complete genome
nc_068051.1 veronica chamaedrys chloroplast, complete genome
nc_082107.1 veronica anagallis-aquatica chloroplast, complete genome
nc_049090.1 syringa wolfii chloroplast, complete genome
nc_042280.1 syringa persica cultivar cv. laciniata chloroplast, complete genome
nc_041119.1 syringa pinnatifolia chloroplast, complete genome
nc_057990.1 syringa oblata chloroplast, complete genome
nc_042468.1 syringa yunnanensis voucher a:r. lancaster 934 chloroplast, complete genome
nc_061378.1 syringa villosa chloroplast, complete genome
nc_082162.1 syringa fauriei chloroplast, complete genome
nc_036987.1 syringa vulgaris voucher g. besnard, sn [mpu] chloroplast, complete genome
nc_037083.1 genlisea violacea chloroplast, complete genome
nc_037078.1 genlisea aurea chloroplast, complete genome
nc_025652.1 genlisea margaretae chloroplast, complete genome
nc_037081.1 genlisea repens chloroplast, complete genome
